Survived,Pclass,Sex,Ticket,Fare,Embarked
0,3,male,347076,7.775,S
1,2,female,230434,13,S
1,3,male,65306,8.1125,S
1,1,male,33638,81.8583,S
1,2,female,250644,19.5,S
1,1,male,113794,26.55,S
1,3,female,2666,19.2583,C
1,1,male,113786,30.5,S
0,2,male,C.A. 34651,27.75,S
0,3,male,65303,19.9667,S
0,1,male,113051,27.75,C
1,1,male,17453,89.1042,C
0,3,male,A/5 2817,8.05,S
1,3,male,349240,7.8958,C
0,1,male,13509,26.55,S
1,1,female,17464,51.8625,S
1,2,female,F.C.C. 13531,10.5,S
0,3,male,371060,7.75,Q
1,1,male,19952,26.55,S
0,3,male,364506,8.05,S
0,1,male,111320,38.5,S
0,2,male,234360,13,S
0,3,male,A/S 2816,8.05,S
0,3,male,SOTON/O.Q. 3101306,7.05,S
0,2,male,239853,0,S
0,1,male,113792,26.55,S
0,3,male,36209,7.725,Q
1,3,female,2666,19.2583,C
0,3,male,323592,7.25,S
0,3,male,315089,8.6625,S
1,2,female,C.A. 34651,27.75,S
1,2,female,SC/AH Basle 541,13.7917,C
0,3,female,7553,9.8375,S
0,1,male,110465,52,S
0,2,male,31027,21,S
0,3,male,3460,7.0458,S
0,3,male,350060,7.5208,S
1,3,female,3101298,12.2875,S
0,3,male,CA 2144,46.9,S
0,2,male,239854,0,S
0,3,male,A/5 3594,8.05,S
1,3,female,4134,9.5875,S
1,1,male,11967,91.0792,C
0,3,female,4133,25.4667,S
1,1,female,19943,90,S
0,1,male,11771,29.7,C
0,3,male,A.5. 18509,8.05,S
1,3,male,C.A. 37671,15.9,S
0,3,male,65304,19.9667,S
0,3,male,SOTON/OQ 3101317,7.25,S
0,1,male,113787,30.5,S
0,1,male,PC 17609,49.5042,C
0,3,male,A/4 45380,8.05,S
0,3,male,2627,14.4583,C
1,1,female,36947,78.2667,C
0,3,male,C.A. 6212,15.1,S
0,1,female,113781,151.55,S
0,3,male,350035,7.7958,S
0,3,male,315086,8.6625,S
0,3,female,364846,7.75,Q
0,3,female,330909,7.6292,Q
0,3,female,4135,9.5875,S
1,1,female,110152,86.5,S
0,1,male,PC 17758,108.9,C
1,2,female,26360,26,S
1,1,male,111427,26.55,S
0,3,male,C 4001,22.525,S
1,3,male,1601,56.4958,S
1,3,male,382651,7.75,Q
0,3,male,SOTON/OQ 3101316,8.05,S
1,1,male,PC 17473,26.2875,S
1,1,female,PC 17603,59.4,C
0,3,male,349209,7.4958,S
0,1,male,36967,34.0208,S
1,2,female,C.A. 34260,10.5,S
0,3,male,371110,24.15,Q
1,2,female,226875,26,S
0,3,male,349242,7.8958,S
1,1,female,12749,93.5,S
0,3,male,349252,7.8958,S
0,3,male,2624,7.225,C
1,1,female,111361,57.9792,C
0,3,male,2700,7.2292,C
0,3,male,367232,7.75,Q
1,2,female,W./C. 14258,10.5,S
0,1,male,PC 17483,221.7792,S
0,3,male,3101296,7.925,S
0,2,male,29104,11.5,S
1,2,female,26360,26,S
0,3,male,2641,7.2292,C
0,3,male,2690,7.2292,C
1,3,female,2668,22.3583,C
0,3,female,315084,8.6625,S
1,2,female,F.C.C. 13529,26.25,S
0,1,male,113050,26.55,S
1,1,female,PC 17761,106.425,C
0,3,male,364498,14.5,S
1,1,female,13568,49.5,C
1,1,female,WE/P 5735,71,S
0,3,female,347082,31.275,S
0,3,female,347082,31.275,S
1,2,male,2908,26,S
0,1,male,PC 17761,106.425,C
0,1,male,693,26,S
1,2,female,2908,26,S
1,2,male,SC/PARIS 2146,13.8625,C
0,3,male,363291,20.525,S
1,2,male,C.A. 33112,36.75,S
1,1,male,17421,110.8833,C
0,2,male,244358,26,S
0,3,male,330979,7.8292,Q
1,3,male,2620,7.225,C
1,3,female,347085,7.775,S
0,1,male,113807,26.55,S
1,1,female,11755,39.6,C
0,1,male,PC 17757,227.525,C
1,1,female,110413,79.65,S
1,3,female,345572,17.4,S
0,3,male,372622,7.75,Q
0,3,male,349251,7.8958,S
0,2,male,218629,13.5,S
0,3,male,SOTON/OQ 392082,8.05,S
0,3,female,SOTON/O.Q. 392087,8.05,S
0,3,male,A/4 48871,24.15,S
0,3,male,349205,7.8958,S
0,3,female,349909,21.075,S
0,3,male,2686,7.2292,C
1,3,male,350417,7.8542,S
1,2,male,S.W./PP 752,10.5,S
1,1,female,11769,51.4792,S
1,1,male,PC 17474,26.3875,S
1,3,female,14312,7.75,Q
0,3,male,A/4. 20589,8.05,S
0,3,male,358585,14.5,S
1,2,female,243880,13,S
1,1,female,13507,55.9,S
0,3,female,2689,14.4583,C
1,3,male,STON/O 2. 3101286,7.925,S
1,2,female,237789,30,S
1,1,female,17421,110.8833,C
0,2,male,28403,26,S
0,1,male,13049,40.125,C
0,3,male,3411,8.7125,C
1,1,female,110413,79.65,S
0,2,male,237565,15,S
1,1,male,13567,79.2,C
0,3,male,14973,8.05,S
0,3,male,A./5. 3235,8.05,S
0,3,male,STON/O 2. 3101273,7.125,S
1,1,female,36947,78.2667,C
0,3,male,A/5 3902,7.25,S
0,3,female,364848,7.75,Q
0,2,male,SC/AH 29037,26,S
0,3,male,345773,24.15,S
1,2,female,248727,33,S
0,3,male,LINE,0,S
0,3,male,2664,7.225,C
1,1,male,PC 17485,56.9292,C
1,2,female,243847,27,S
0,3,male,349214,7.8958,S
0,1,male,113796,42.4,S
0,3,male,364511,8.05,S
1,1,male,111426,26.55,C
0,3,male,349910,15.55,S
0,3,male,349246,7.8958,S
1,1,male,113804,30.5,S
1,2,female,SC/Paris 2123,41.5792,C
1,1,female,PC 17582,153.4625,S
0,3,female,347082,31.275,S
0,3,male,SOTON/O.Q. 3101305,7.05,S
1,3,female,367230,15.5,Q
0,3,male,370377,7.75,Q
0,3,male,364512,8.05,S
1,2,female,220845,65,S
0,3,male,347080,14.4,S
0,3,female,A/5. 3336,16.1,S
1,2,female,230136,39,S
0,2,male,31028,10.5,S
0,3,male,2659,14.4542,C
1,1,male,11753,52.5542,S
1,3,male,2653,15.7417,C
0,3,male,350029,7.8542,S
0,3,male,54636,16.1,S
0,1,male,36963,32.3208,S
0,2,male,219533,12.35,Q
1,1,female,13502,77.9583,S
0,3,male,349224,7.8958,S
0,3,male,334912,7.7333,Q
1,1,male,27042,30,S
0,3,male,347743,7.0542,S
1,1,male,13214,30.5,C
0,1,male,112052,0,S
0,3,female,347088,27.9,S
1,2,female,237668,13,S
0,3,male,STON/O 2. 3101292,7.925,S
0,2,male,C.A. 31921,26.25,S
0,3,female,3101295,39.6875,S
0,3,male,376564,16.1,S
0,3,male,350050,7.8542,S
1,1,female,PC 17477,69.3,C
0,3,female,347088,27.9,S
1,3,male,1601,56.4958,S
1,3,female,2666,19.2583,C
1,1,male,PC 17572,76.7292,C
0,3,male,349231,7.8958,S
1,1,male,13213,35.5,C
0,3,male,S.O./P.P. 751,7.55,S
1,3,female,CA. 2314,7.55,S
0,3,male,349221,7.8958,S
1,2,female,231919,23,S
0,3,male,8475,8.4333,S
1,3,female,330919,7.8292,Q
0,3,female,365226,6.75,Q
0,2,male,S.O.C. 14879,73.5,S
0,3,male,349223,7.8958,S
0,3,female,364849,15.5,Q
0,2,male,29751,13,S
0,1,male,35273,113.275,C
1,1,male,PC 17611,133.65,S
0,3,male,2623,7.225,C
0,1,male,5727,25.5875,S
0,3,male,349210,7.4958,S
1,3,male,STON/O 2. 3101285,7.925,S
0,2,male,S.O.C. 14879,73.5,S
0,2,male,234686,13,S
0,3,male,312993,7.775,S
0,3,male,A/5 3536,8.05,S
1,1,female,19996,52,S
1,2,female,29750,39,S
0,1,male,F.C. 12750,52,S
0,2,male,C.A. 24580,10.5,S
1,2,male,244270,13,S
0,2,male,239856,0,S
0,3,male,349912,7.775,S
0,3,male,342826,8.05,S
1,3,female,4138,9.8417,S
0,3,female,CA 2144,46.9,S
1,1,male,PC 17755,512.3292,C
0,3,female,330935,8.1375,Q
1,1,male,PC 17572,76.7292,C
0,3,male,6563,9.225,S
0,3,male,CA 2144,46.9,S
0,2,male,29750,39,S
0,2,male,SC/Paris 2123,41.5792,C
0,3,male,3101295,39.6875,S
0,3,male,349228,10.1708,S
0,3,male,350036,7.7958,S
1,1,female,24160,211.3375,S
1,1,male,17474,57,S
1,3,female,349256,13.4167,C
1,3,male,1601,56.4958,S
0,3,male,2672,7.225,C
0,1,male,113800,26.55,S
0,2,male,248731,13.5,S
0,3,male,363592,8.05,S
1,3,female,35852,7.7333,Q
0,1,male,17421,110.8833,C
0,3,male,348121,7.65,S
1,1,female,PC 17757,227.525,C
1,1,male,PC 17475,26.2875,S
0,3,female,2691,14.4542,C
0,3,male,36864,7.7417,Q
0,3,male,350025,7.8542,S
0,2,male,250655,26,S
1,2,female,223596,13.5,S
1,1,male,PC 17476,26.2875,S
1,1,female,113781,151.55,S
1,3,male,2661,15.2458,C
1,1,female,PC 17482,49.5042,C
0,1,male,113028,26.55,S
1,1,male,19996,52,S
0,3,male,7545,9.4833,S
0,2,male,250647,13,S
0,3,male,348124,7.65,S
1,1,female,PC 17757,227.525,C
1,2,female,34218,10.5,S
0,3,male,36568,15.5,Q
0,3,male,347062,7.775,S
1,2,female,248727,33,S
0,3,male,350048,7.0542,S
0,2,male,12233,13,S
0,2,male,250643,13,S
1,1,male,113806,53.1,S
0,3,male,315094,8.6625,S
1,2,female,31027,21,S
1,3,female,36866,7.7375,Q
0,2,male,236853,26,S
0,3,female,STON/O2. 3101271,7.925,S
1,1,female,24160,211.3375,S
0,3,male,2699,18.7875,C
0,2,male,239855,0,S
0,2,male,28425,13,S
0,2,male,233639,13,S
0,3,male,54636,16.1,S
0,3,female,W./C. 6608,34.375,S
1,1,male,PC 17755,512.3292,C
0,3,male,349201,7.8958,S
0,3,male,349218,7.8958,S
1,1,male,16988,30,S
0,1,male,19877,78.85,S
1,1,female,PC 17608,262.375,C
0,3,male,376566,16.1,S
1,3,male,STON/O 2. 3101288,7.925,S
0,1,male,WE/P 5735,71,S
0,3,male,C.A. 2673,20.25,S
1,2,female,250648,13,S
0,1,male,113773,53.1,S
0,3,male,335097,7.75,Q
1,2,female,29103,23,S
1,3,male,392096,12.475,S
0,3,male,345780,9.5,S
0,3,male,349204,7.8958,S
1,2,female,220845,65,S
1,2,male,250649,14.5,S
0,3,male,350042,7.7958,S
0,2,male,29108,11.5,S
0,3,male,363294,8.05,S
1,1,female,110152,86.5,S
0,3,male,358585,14.5,S
0,3,male,SOTON/O2 3101272,7.125,S
1,3,male,2663,7.2292,C
1,1,female,113760,120,S
0,3,male,347074,7.775,S
1,1,female,13502,77.9583,S
0,1,male,112379,39.6,C
0,3,female,364850,7.75,Q
0,3,male,371110,24.15,Q
0,3,male,8471,8.3625,S
0,3,male,345781,9.5,S
0,3,male,350047,7.8542,S
0,2,female,S.O./P.P. 3,10.5,S
0,3,male,2674,7.225,C
1,2,female,29105,23,S
0,3,male,347078,7.75,S
0,3,male,383121,7.75,Q
1,3,female,364516,12.475,S
0,3,male,36865,7.7375,Q
1,1,female,24160,211.3375,S
1,3,female,2687,7.2292,C
1,1,female,17474,57,S
0,1,male,113501,30,S
0,3,male,W./C. 6607,23.45,S
0,3,male,SOTON/O.Q. 3101312,7.05,S
0,3,male,374887,7.25,S
1,3,female,3101265,7.4958,S
0,3,male,382652,29.125,Q
1,3,male,C.A. 2315,20.575,S
0,1,male,PC 17593,79.2,C
0,3,male,12460,7.75,Q
0,2,male,239865,26,S
0,3,female,CA. 2343,69.55,S
0,1,male,PC 17600,30.6958,C
0,3,male,349203,7.8958,S
0,2,male,28213,13,S
1,1,female,17465,25.9292,S
1,3,female,349244,8.6833,S
0,3,male,2685,7.2292,C
0,3,female,345773,24.15,S
0,2,male,250647,13,S
1,2,female,C.A. 31921,26.25,S
1,1,male,113760,120,S
1,3,male,2625,8.5167,C
1,3,male,347089,6.975,S
0,3,male,347063,7.775,S
0,1,male,112050,0,S
0,3,female,347087,7.775,S
0,2,male,248723,13,S
1,1,female,113806,53.1,S
0,3,male,3474,7.8875,S
0,3,male,A/4 48871,24.15,S
0,2,male,28206,10.5,S
0,3,female,347082,31.275,S
0,3,male,364499,8.05,S
0,1,male,112058,0,S
0,3,female,STON/O2. 3101290,7.925,S
0,2,male,S.C./PARIS 2079,37.0042,C
0,3,male,C 7075,6.45,S
0,3,male,347088,27.9,S
1,1,female,12749,93.5,S
1,3,male,315098,8.6625,S
0,1,male,19972,0,S
1,3,female,392096,12.475,S
0,3,male,3101295,39.6875,S
0,3,male,368323,6.95,Q
0,3,male,1601,56.4958,S
1,2,male,S.C./PARIS 2079,37.0042,C
1,3,male,367228,7.75,Q
1,1,female,113572,80,
1,3,female,2659,14.4542,C
1,2,male,29106,18.75,S
0,3,male,2671,7.2292,C
0,3,male,347468,7.8542,S
0,3,male,2223,8.3,S
1,1,female,PC 17756,83.1583,C
0,3,male,315097,8.6625,S
0,3,male,392092,8.05,S
1,3,male,1601,56.4958,S
1,1,male,11774,29.7,C
0,3,male,SOTON/O2 3101287,7.925,S
0,2,male,S.O./P.P. 3,10.5,S
1,1,female,113798,31,C
0,3,male,2683,6.4375,C
0,3,male,315090,8.6625,S
0,3,male,C.A. 5547,7.55,S
0,3,male,CA. 2343,69.55,S
0,3,male,349213,7.8958,C
0,2,male,248727,33,S
1,1,female,17453,89.1042,C
0,3,male,347082,31.275,S
0,3,male,347060,7.775,S
0,3,female,2678,15.2458,C
1,1,female,PC 17592,39.4,S
0,2,female,244252,26,S
1,3,female,392091,9.35,S
1,1,female,36928,164.8667,S
1,1,male,113055,26.55,S
1,3,female,2666,19.2583,C
0,3,male,2629,7.2292,C
0,3,male,350026,14.1083,S
0,2,male,28134,11.5,S
1,1,female,17466,25.9292,S
0,3,female,CA. 2343,69.55,S
0,2,male,233866,13,S
1,2,female,236852,13,S
1,2,female,SC/PARIS 2149,13.8583,C
0,1,male,PC 17590,50.4958,S
0,3,male,345777,9.5,S
1,3,male,347742,11.1333,S
0,3,male,349248,7.8958,S
1,1,female,11751,52.5542,S
0,1,male,695,5,S
0,3,male,345765,9,S
1,2,female,P/PP 3381,24,C
1,3,female,2667,7.225,C
0,3,male,7534,9.8458,S
0,3,male,349212,7.8958,S
0,3,male,349217,7.8958,S
1,1,female,11767,83.1583,C
1,2,female,230433,26,S
0,3,male,349257,7.8958,S
0,3,female,7552,10.5167,S
0,2,male,C.A./SOTON 34068,10.5,S
0,3,male,SOTON/OQ 392076,7.05,S
0,3,female,382652,29.125,Q
0,2,male,211536,13,S
1,1,female,112053,30,S
0,3,female,W./C. 6607,23.45,S
1,1,male,111369,30,C
0,3,male,370376,7.75,Q
